suite,case,instance_seed,algorithm_seed,method,m,n,rank,coherence,spectrum,rhs,regularization,regularization_ratio,tolerance,success,external_success,precision_status_case,precision_status_correct,status,stop_reason,objective,reference_objective,relative_objective_gap,residual_norm,normal_residual_norm,compatible_backward_error_external,least_squares_backward_error_external,backward_error_external,relative_energy_error_external,reported_accuracy_upper,relative_solution_error,relative_null_component,a_columns,at_columns,total_vector_work,a_block_calls,at_block_calls,total_block_calls,search_vector_work,validation_vector_work,search_block_calls,validation_block_calls,sketch_a_columns,sketch_at_columns,sketch_a_block_calls,sketch_at_block_calls,iterative_a_columns,iterative_at_columns,iterative_a_block_calls,iterative_at_block_calls,gaussian_random_columns,gaussian_random_values,gaussian_random_block_requests,iterations,depth,auxiliary_width,basis_rank,kernel_seconds,a_seconds,at_seconds,orthogonalization_seconds,projected_solve_seconds,validation_seconds,other_seconds,wall_seconds,peak_resident_memory_mib,additional_resident_memory_mib,error
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,101,1000104,amfls,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.622060347906925e-28,0.0,3.4255313902346384e+280,2.7608079157932964e-14,2.5514197473084115e-12,3.881935392712897e-17,0.9241569225852069,3.881935392712897e-17,2.759985410708047e-14,4.5436848841317023e-13,4.955467738124543e-15,0.0,6,6,12,6,6,12,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0.018801258,0.008723845999999999,0.009153913,7.3731e-05,8.7575e-05,0.0089014,0.0007621930000000029,0.04404110700124875,659.89453125,0.234375,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,101,2000107,fixed_rbgk,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,1.462289489962349e-27,0.0,6.5718694432165805e+280,3.823989395856569e-14,3.351590903120785e-12,5.3768607704346604e-17,0.8764644867353332,5.3768607704346604e-17,3.823775456233795e-14,4.543834376669474e-13,1.2841261728448287e-14,0.0,40,40,80,8,8,16,72,8,8,8,0,0,0,0,0,0,0,0,8,16384,1,4,4,8,36,0.053889587,0.023172066,0.026223048000000002,0.002263362,0.000213921,0.010689684999999997,0.0020171899999999986,0.07399354800145375,669.1015625,1.73828125,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,101,1000104,lsqr,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.304112425247925e-28,0.0,3.2826381907826837e+280,2.7026121485052058e-14,9.799882479308812e-14,3.800107096202538e-17,0.03626078009280411,3.800107096202538e-17,2.7026491941411424e-14,4.543676701302051e-13,3.931424884835905e-15,0.0,8,8,16,8,8,16,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0.021549406,0.010502028999999998,0.010335809,0.0,0.0,0.010263821,0.0007115680000000027,0.03799258999788435,667.75,0.19140625,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,101,1000104,lsmr,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.244085040741263e-28,0.0,3.2556604865248422e+280,2.6914837990857874e-14,9.420201245694987e-14,3.78445967168358e-17,0.03500002953350392,3.78445967168358e-17,2.6914672713985144e-14,4.543675136559599e-13,3.8202597712662846e-15,0.0,8,9,17,8,9,17,9,8,9,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0.022739803,0.010440827,0.011568835,0.0,0.0,0.010334436,0.0007301410000000001,0.03885614200407872,667.79296875,0.25390625,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,101,1000104,lsmb,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.304112425247925e-28,0.0,3.2826381907826837e+280,2.7026121485052058e-14,9.799882479308812e-14,3.800107096202538e-17,0.03626078009280411,3.800107096202538e-17,2.7026491941411424e-14,4.543676701302051e-13,3.931424884835905e-15,0.0,8,9,17,8,9,17,9,8,9,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0.022901717,0.010471534000000001,0.011629851,0.0,0.0,0.010217698,0.0008003319999999974,0.042394140000396874,667.859375,0.28125,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,101,3000107,lsrn,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,2.773807735129678e-15,0.0,1.2466137807176529e+293,5.2666951071138325e-08,1.3081002511683484e-06,7.405430133074777e-11,0.24837212418115312,7.405430133074777e-11,5.266695107272458e-08,7.450863099982423e-11,5.2080752646838274e-08,0.0,58,4154,4212,58,186,244,4190,22,222,22,0,4096,0,128,47,47,47,47,4096,8388608,128,47,47,4096,2048,10.70309696,0.08078404799999997,1.1299209279999989,0.0,9.004728808,0.029619713,0.48766317600000164,10.723851053000544,988.72265625,321.21484375,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,102,1000105,amfls,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.622060347906925e-28,0.0,3.4255313902346384e+280,2.7608079157932964e-14,2.5514197473084115e-12,3.881935392712897e-17,0.9241569225852069,3.881935392712897e-17,2.759985410708047e-14,4.5436848841317023e-13,4.955467738124543e-15,0.0,6,6,12,6,6,12,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0.019809502,0.009256238,0.009613659,7.1023e-05,8.913699999999998e-05,0.009357507000000001,0.0007794449999999996,0.04567420500097796,660.1015625,0.23828125,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,102,2000108,fixed_rbgk,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.170433025954899e-28,0.0,3.222559556187286e+280,2.6777664248315047e-14,1.9587086867649352e-12,3.7651718536835804e-17,0.7314710755207803,3.7651718536835804e-17,2.677926395826163e-14,4.543673207777799e-13,8.11371574869902e-15,0.0,40,40,80,8,8,16,72,8,8,8,0,0,0,0,0,0,0,0,8,16384,1,4,4,8,36,0.050182182,0.021605874,0.02415384,0.0022517730000000003,0.000190327,0.009106610000000001,0.0019803679999999984,0.06971888699627016,669.5,1.82421875,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,102,1000105,lsqr,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.304112425247925e-28,0.0,3.2826381907826837e+280,2.7026121485052058e-14,9.799882479308812e-14,3.800107096202538e-17,0.03626078009280411,3.800107096202538e-17,2.7026491941411424e-14,4.543676701302051e-13,3.931424884835905e-15,0.0,8,8,16,8,8,16,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0.020155878,0.010168085,0.009255668,0.0,0.0,0.009573817,0.0007321249999999984,0.039778726000804454,667.90625,0.18359375,
large_dense_geometry_rank_v1,clustered_coherent_consistent_square,102,1000105,lsmr,2048,2048,2048,coherent,clusters,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.244085040741263e-28,0.0,3.2556604865248422e+280,2.6914837990857874e-14,9.420201245694987e-14,3.78445967168358e-17,0.03500002953350392,3.78445967168358e-17,2.6914672713985144e-14,4.543675136559599e-13,3.8202597712662846e-15,0.0,8,9,17,8,9,17,9,8,9,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0.018830148,0.008787558,0.009446106,0.0,0.0,0.008278893,0.000596484000000003,0.03833613599999808,667.90625,0.24609375,
