suite,case,instance_seed,algorithm_seed,method,m,n,rank,coherence,spectrum,rhs,regularization,regularization_ratio,tolerance,success,external_success,precision_status_case,precision_status_correct,status,stop_reason,objective,reference_objective,relative_objective_gap,residual_norm,normal_residual_norm,compatible_backward_error_external,least_squares_backward_error_external,backward_error_external,relative_energy_error_external,reported_accuracy_upper,relative_solution_error,relative_null_component,a_columns,at_columns,total_vector_work,a_block_calls,at_block_calls,total_block_calls,search_vector_work,validation_vector_work,search_block_calls,validation_block_calls,sketch_a_columns,sketch_at_columns,sketch_a_block_calls,sketch_at_block_calls,iterative_a_columns,iterative_at_columns,iterative_a_block_calls,iterative_at_block_calls,gaussian_random_columns,gaussian_random_values,gaussian_random_block_requests,iterations,depth,auxiliary_width,basis_rank,kernel_seconds,a_seconds,at_seconds,orthogonalization_seconds,projected_solve_seconds,validation_seconds,other_seconds,wall_seconds,peak_resident_memory_mib,additional_resident_memory_mib,error
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,1000104,amfls,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,7.088696907460246e-17,4.495768874721709e-24,15767484.173265366,8.41943995017499e-09,7.644992205838747e-08,3.762164417218084e-13,0.0009080167150167576,3.762164417218084e-13,8.419451653253356e-09,3.476972217542574e-12,1.2725055229116257e-08,0.0,229,229,458,63,63,126,428,30,96,30,0,0,0,0,0,0,0,0,7,114688,3,48,48,7,214,1.011376188,0.43465628200000006,0.5001852270000001,0.04555021099999999,0.0031959889999999998,0.22167548300000003,0.02778847899999989,1.0660927790013375,683.94140625,5.83203125,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,2000107,fixed_rbgk,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,4.6836642723043114e-14,4.495768874721709e-24,10417938293.46856,2.1641775048050736e-07,1.0697390267399035e-07,9.67046697798853e-12,4.942935708206867e-05,9.67046697798853e-12,2.1641773054513413e-07,6.933438886772578e-11,3.2073780063262563e-07,0.0,319,319,638,47,47,94,612,26,68,26,0,0,0,0,0,0,0,0,8,131072,1,34,34,8,306,1.260206518,0.522912529,0.6100617559999999,0.083236328,0.012002414,0.20628375300000001,0.03199349100000008,1.3119472400067025,687.953125,9.11328125,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,1000104,lsqr,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,2.8761365891262913e-16,4.495768874721709e-24,63974297.262926735,1.695917624510782e-08,5.694021655284531e-05,7.57808236560177e-13,0.3357487163875117,7.57808236560177e-13,1.6959798806352654e-08,2.5978025318739653e-12,2.6564189579389647e-08,0.0,144,144,288,144,144,288,256,32,256,32,0,0,0,0,0,0,0,0,0,0,0,128,128,0,128,1.023167228,0.5068626970000001,0.4997991970000001,0.0,0.0,0.15242878099999996,0.01650533399999976,1.083257278005476,680.29296875,1.43359375,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,1000104,lsmr,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,4.5230092238903846e-14,4.495768874721709e-24,10060591079.03047,2.1267367547231574e-07,6.079429190336898e-08,9.503165757898736e-12,2.858571554206422e-05,9.503165757898736e-12,2.1267369288143184e-07,6.814892199069851e-11,4.103530750246271e-07,0.0,127,128,255,127,128,255,225,30,225,30,0,0,0,0,0,0,0,0,0,0,0,112,112,0,112,0.922507125,0.46529095500000006,0.44089756000000013,0.0,0.0,0.15728090399999997,0.01631860999999979,0.9756035749960574,680.2890625,1.4453125,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,1000104,lsmb,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,2.8761365891262913e-16,4.495768874721709e-24,63974297.262926735,1.695917624510782e-08,5.694021655284531e-05,7.57808236560177e-13,0.3357487163875117,7.57808236560177e-13,1.6959798806352654e-08,2.5978025318739653e-12,2.6564189579389647e-08,0.0,144,145,289,144,145,289,257,32,257,32,0,0,0,0,0,0,0,0,0,0,0,128,128,0,128,1.131150931,0.5630591390000002,0.549340873,0.0,0.0,0.17070012699999998,0.01875091899999992,1.176065325998934,680.140625,1.4453125,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,3000107,lsrn,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,4.355462111406275e-14,4.495768874721709e-24,9687913752.519815,2.0869743916508104e-07,6.315970870553775e-05,9.325490419628054e-12,0.030263767949532915,9.325490419628054e-12,2.0869751250558225e-07,6.68899459460624e-11,2.101727592857984e-07,0.0,52,1076,1128,52,84,136,1106,22,114,22,0,1024,0,32,41,41,41,41,1024,16777216,32,41,41,1024,512,1.828696741,0.17962654500000003,0.84317382,0.0,0.187459048,0.07591848099999998,0.6184373279999998,1.879168788997049,699.546875,20.6953125,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,4000111,sparse_embedding_lsqr,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,8.909687081507738e-14,4.495768874721709e-24,19817938442.419765,2.984909895040007e-07,0.000126649342809971,1.3337848719783924e-11,0.04242987134064679,1.3337848719783924e-11,2.984909157927218e-07,9.532080772373615e-11,3.066410378247572e-07,0.0,31,2079,2110,31,95,126,2090,20,106,20,0,2048,0,64,21,21,21,21,0,0,0,21,21,2048,512,1.51567613,0.11550129800000003,1.1642767019999996,0.0,0.167104983,0.06715891400000001,0.06879314700000025,1.5561146850013756,716.66796875,37.78515625,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,5000113,spir,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,5.281139526476416e-24,4.495768874721709e-24,0.17469106478551388,2.298073002860531e-12,3.681638364027773e-10,1.0268769099481958e-16,0.016020545733077436,1.0268769099481958e-16,2.692986515848536e-12,8.11896630176136e-13,1.8409965672656645e-12,0.0,5,1029,1034,5,37,42,1032,2,40,2,0,1024,0,32,4,4,4,4,0,0,0,1,1,1024,512,0.810105702,0.014859349999999999,0.5902328799999998,0.0,0.124611988,0.005210911,0.08040148400000008,0.8462926279971725,701.80078125,22.921875,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,101,6000115,fossils,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,1.3718769697033468e-24,4.495768874721709e-24,-0.6948515353142422,1.171271518352319e-12,8.119446134312405e-10,5.23374007691975e-17,0.06932163898029724,5.23374007691975e-17,1.8673114923903153e-12,8.115398569184209e-13,3.0255947059725675e-13,0.0,4,6148,6152,4,196,200,6150,2,198,2,0,6144,0,192,3,3,3,3,0,0,0,1,1,6144,512,3.998509915,0.015053505,3.4108403839999997,0.0,0.374118024,0.006731357,0.1984980020000004,4.043699244997697,763.9296875,85.0625,
large_dense_ordinary_v2,four_separated_outliers_loaded_tall,102,1000105,amfls,16384,512,512,haar,separated_outliers,energy_balanced,0.0,0.0,1e-10,1,1,0,,0,8,5.64434230171234e-17,3.0662665226164327e-24,18407864.91798304,7.512883801651893e-09,5.260826163644178e-08,3.3570765129918035e-13,0.0007002405870416171,3.3570765129918035e-13,7.512868418163727e-09,2.9479110304480606e-12,1.1500191728231324e-08,0.0,229,229,458,63,63,126,428,30,96,30,0,0,0,0,0,0,0,0,7,114688,3,48,48,7,214,0.991550495,0.42320854100000005,0.4929539869999999,0.044337215,0.0031013280000000004,0.223199049,0.027949424000000056,1.0441761560068699,685.0859375,6.70703125,
