suite,case,instance_seed,algorithm_seed,method,m,n,rank,coherence,spectrum,rhs,regularization,regularization_ratio,tolerance,success,external_success,precision_status_case,precision_status_correct,status,stop_reason,objective,reference_objective,relative_objective_gap,residual_norm,normal_residual_norm,compatible_backward_error_external,least_squares_backward_error_external,backward_error_external,relative_energy_error_external,reported_accuracy_upper,relative_solution_error,relative_null_component,a_columns,at_columns,total_vector_work,a_block_calls,at_block_calls,total_block_calls,search_vector_work,validation_vector_work,search_block_calls,validation_block_calls,sketch_a_columns,sketch_at_columns,sketch_a_block_calls,sketch_at_block_calls,iterative_a_columns,iterative_at_columns,iterative_a_block_calls,iterative_at_block_calls,gaussian_random_columns,gaussian_random_values,gaussian_random_block_requests,iterations,depth,auxiliary_width,basis_rank,kernel_seconds,a_seconds,at_seconds,orthogonalization_seconds,projected_solve_seconds,validation_seconds,other_seconds,wall_seconds,peak_resident_memory_mib,additional_resident_memory_mib,error
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,1000104,amfls,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,4.870235405512647e-32,0.0,2.188797188413368e+276,2.2068609846369223e-16,2.2068609846369223e-16,1.1034304923184612e-16,1.0,1.1034304923184612e-16,2.2068609846369226e-16,5.706478421259116e-14,2.2068609846369226e-16,0.0,2,2,4,2,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.017220807,0.008584285,0.00737938,0.000229472,2.9806e-05,0.008446124999999999,0.0009978640000000009,0.07720071100629866,663.046875,0.62890625,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,2000107,fixed_rbgk,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,8.088705418107972e-32,0.0,3.63525255001408e+276,2.844064946183187e-16,2.844064946183187e-16,1.4220324730915937e-16,1.0,1.4220324730915937e-16,2.8440649461831873e-16,5.709664441066851e-14,2.8440649461831873e-16,0.0,10,10,20,2,2,4,18,2,2,2,0,0,0,0,0,0,0,0,8,131072,1,1,1,8,9,0.041812282,0.016052616,0.016520294,0.002238497,2.7582e-05,0.007234745000000001,0.006973292999999999,0.08680214599735336,673.4140625,4.80859375,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,1000104,lsqr,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,1.257471600341306e-31,0.0,5.651370158044739e+276,3.5460846018408896e-16,3.5460846018408896e-16,1.7730423009204453e-16,1.0,1.7730423009204453e-16,3.54608460184089e-16,5.713174539345142e-14,3.54608460184089e-16,0.0,2,2,4,2,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.011214074,0.0054039150000000005,0.005352216999999999,0.0,0.0,0.005180535,0.0004579419999999994,0.04623237800115021,669.265625,0.640625,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,1000104,lsmr,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,1.930566764506001e-31,0.0,8.676416547364478e+276,4.3938215308612627e-16,4.3938215308612627e-16,2.196910765430632e-16,1.0,2.196910765430632e-16,4.393821530861263e-16,5.717413223990251e-14,4.393821530861263e-16,0.0,2,3,5,2,3,5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.017372746,0.007228584,0.009527113,0.0,0.0,0.0064305939999999995,0.0006170490000000015,0.05445224499999313,669.26171875,0.65625,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,1000104,lsmb,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,1.257471600341306e-31,0.0,5.651370158044739e+276,3.5460846018408896e-16,3.5460846018408896e-16,1.7730423009204453e-16,1.0,1.7730423009204453e-16,3.54608460184089e-16,5.713174539345142e-14,3.54608460184089e-16,0.0,2,3,5,2,3,5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.019239013,0.007864589,0.010618575,0.0,0.0,0.007516383999999999,0.0007558489999999994,0.06385555499582551,669.125,0.65625,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,3000107,lsrn,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,3.261386269939438e-20,0.0,1.4657429269010858e+288,1.8059308596785864e-10,1.8059308596785864e-10,9.029654298392398e-11,1.0,9.029654298392398e-11,1.8059308596785866e-10,9.035349742521205e-11,1.8059308596785866e-10,0.0,70,1094,1164,70,102,172,1140,24,148,24,0,1024,0,32,58,58,58,58,1024,16777216,32,58,58,1024,512,1.708097102,0.252554595,0.7632889329999999,0.0,0.152510342,0.079106184,0.5397432320000002,1.7451246429991443,689.0546875,20.4375,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,4000111,sparse_embedding_lsqr,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,3.1152456221150665e-20,0.0,1.4000639170715349e+288,1.7650058419492742e-10,1.7650058419492742e-10,8.825029209746371e-11,1.0,8.825029209746371e-11,1.7650058419492745e-10,8.830724653874895e-11,1.7650058419492745e-10,0.0,46,2094,2140,46,110,156,2116,24,132,24,0,2048,0,64,34,34,34,34,0,0,0,34,34,2048,512,1.652165838,0.160073786,1.2518037100000008,0.0,0.167979121,0.07533059,0.07230922099999904,1.6852669310028432,704.58203125,35.93359375,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,5000113,spir,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,5.701775908545068e-30,0.0,2.562510851828703e+278,2.38783917141525e-15,2.38783917141525e-15,1.1939195857076252e-15,1.0,1.1939195857076252e-15,2.3878391714152503e-15,5.814836074906843e-14,2.3878391714152503e-15,0.0,6,1030,1036,6,38,44,1034,2,42,2,0,1024,0,32,5,5,5,5,0,0,0,2,1,1024,512,0.803811517,0.01968424,0.586758719,0.0,0.117010423,0.006536603,0.08035813499999997,0.8410117429957609,691.70703125,23.0625,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,101,6000115,fossils,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,6.003040007578793e-31,0.0,2.697905952482055e+277,7.747928760371247e-16,7.747928760371247e-16,3.873964380185624e-16,1.0,3.873964380185624e-16,7.747928760371248e-16,5.734183760137824e-14,7.747928760371248e-16,0.0,4,6148,6152,4,196,200,6150,2,198,2,0,6144,0,192,3,3,3,3,0,0,0,1,1,6144,512,3.954459004,0.014648348,3.391352388000001,0.0,0.357904974,0.006765163,0.19055329399999876,3.9945369769993704,751.56640625,82.9296875,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,1000105,amfls,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,4.6825915177973735e-32,0.0,2.1044656562272126e+276,2.163929647145991e-16,2.163929647145991e-16,1.0819648235729955e-16,1.0,1.0819648235729955e-16,2.1639296471459913e-16,5.706263764571659e-14,2.1639296471459913e-16,0.0,2,2,4,2,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.016758999,0.008228936,0.007484928,0.0002075,3.1389e-05,0.007930004,0.0008062460000000008,0.07406240201089531,663.4296875,0.6328125,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,2000108,fixed_rbgk,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,2.0789535949253734e-32,0.0,9.34330151323669e+275,1.4418576888602334e-16,1.4418576888602334e-16,7.209288444301168e-17,1.0,7.209288444301168e-17,1.4418576888602336e-16,5.702653404780225e-14,1.4418576888602336e-16,0.0,10,10,20,2,2,4,18,2,2,2,0,0,0,0,0,0,0,0,8,131072,1,1,1,8,9,0.039195606,0.015065931,0.015518893,0.0022325139999999997,2.5659e-05,0.006890458,0.006352609000000003,0.07724112900177715,673.72265625,4.8203125,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,1000105,lsqr,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,1.24543658795716e-31,0.0,5.597282010192334e+276,3.529074365831868e-16,3.529074365831868e-16,1.7645371829159345e-16,1.0,1.7645371829159345e-16,3.5290743658318686e-16,5.713089488165097e-14,3.5290743658318686e-16,0.0,2,2,4,2,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.01443154,0.007332018,0.006494123,0.0,0.0,0.006995255000000001,0.0006053989999999995,0.05146640399470925,669.53515625,0.63671875,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,1000105,lsmr,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,1.9687619095927276e-31,0.0,8.848074422633174e+276,4.437073257895037e-16,4.437073257895037e-16,2.2185366289475192e-16,1.0,2.2185366289475192e-16,4.4370732578950373e-16,5.717629482625419e-14,4.4370732578950373e-16,0.0,2,3,5,2,3,5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.017178241,0.00734879,0.009186643,0.0,0.0,0.006426687,0.0006428079999999999,0.05630284300423227,669.54296875,0.64453125,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,1000105,lsmb,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,1.24543658795716e-31,0.0,5.597282010192334e+276,3.529074365831868e-16,3.529074365831868e-16,1.7645371829159345e-16,1.0,1.7645371829159345e-16,3.5290743658318686e-16,5.713089488165097e-14,3.5290743658318686e-16,0.0,2,3,5,2,3,5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.01709291,0.007120201,0.009354557,0.0,0.0,0.006428911,0.0006181520000000003,0.05353983100212645,669.5546875,0.65625,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,3000108,lsrn,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,4.0084173960508494e-22,0.0,1.8014761086358232e+286,2.0021032431048228e-11,2.0021032431048228e-11,1.0010516215524187e-11,1.0,1.0010516215524187e-11,2.002103243104823e-11,1.0067470656701374e-11,2.002103243104823e-11,0.0,77,1101,1178,77,109,186,1152,26,160,26,0,1024,0,32,64,64,64,64,1024,16777216,32,64,64,1024,512,1.673265267,0.25103886899999994,0.7507493129999995,0.0,0.149425205,0.07595845999999999,0.5220518800000004,1.7101958159983042,689.21875,20.3125,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,4000112,sparse_embedding_lsqr,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,3.7891132864886994e-20,0.0,1.7029157355840806e+288,1.9465644830029902e-10,1.9465644830029902e-10,9.732822415014954e-11,1.0,9.732822415014954e-11,1.9465644830029905e-10,9.738517859144726e-11,1.9465644830029905e-10,0.0,43,2091,2134,43,107,150,2112,22,128,22,0,2048,0,64,32,32,32,32,0,0,0,32,32,2048,512,1.610134023,0.151808686,1.2174640010000006,0.0,0.170072074,0.071124107,0.07078926199999938,1.6455524299963145,704.7265625,35.81640625,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,5000114,spir,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,5.049907817877773e-30,0.0,2.2695461539716026e+278,2.247199995077824e-15,2.247199995077824e-15,1.1235999975389123e-15,1.0,1.1235999975389123e-15,2.2471999950778246e-15,5.80780411608996e-14,2.2471999950778246e-15,0.0,6,1030,1036,6,38,44,1034,2,42,2,0,1024,0,32,5,5,5,5,0,0,0,2,1,1024,512,0.797603271,0.022018408,0.580002613,0.0,0.126917179,0.006357367,0.06866507099999997,0.8301287319991388,691.8671875,22.9453125,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,102,6000116,fossils,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,4.311005315302849e-31,0.0,1.9374661649187212e+277,6.565824636176973e-16,6.565824636176973e-16,3.282912318088487e-16,1.0,3.282912318088487e-16,6.565824636176974e-16,5.728273239516846e-14,6.565824636176974e-16,0.0,4,6148,6152,4,196,200,6150,2,198,2,0,6144,0,192,3,3,3,3,0,0,0,1,1,6144,512,3.881337877,0.012767984,3.320188860000001,0.0,0.357857385,0.005126393,0.1905236479999992,3.915852967002138,753.95703125,85.03515625,
large_dense_spectral_coverage_v1,flat_coherent_consistent_tall,103,1000106,amfls,16384,512,512,coherent,flat,consistent,0.0,0.0,1e-10,1,1,0,,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.695444116335914e-14,0.0,0.0,2,2,4,2,2,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.01690329,0.008578974999999999,0.007242504,0.000383331,2.9475e-05,0.008199422,0.0006690050000000019,0.07017563699628226,663.42578125,0.62890625,
