suite,case,instance_seed,algorithm_seed,method,m,n,nnz,rank,coherence,spectrum,rhs,regularization,regularization_ratio,tolerance,success,external_success,precision_status_case,precision_status_correct,status,stop_reason,objective,reference_objective,relative_objective_gap,residual_norm,normal_residual_norm,compatible_backward_error_external,least_squares_backward_error_external,backward_error_external,relative_energy_error_external,reported_accuracy_upper,relative_solution_error,relative_null_component,a_columns,at_columns,total_vector_work,a_block_calls,at_block_calls,total_block_calls,search_vector_work,validation_vector_work,search_block_calls,validation_block_calls,sketch_a_columns,sketch_at_columns,sketch_a_block_calls,sketch_at_block_calls,iterative_a_columns,iterative_at_columns,iterative_a_block_calls,iterative_at_block_calls,gaussian_random_columns,gaussian_random_values,gaussian_random_block_requests,iterations,depth,auxiliary_width,basis_rank,kernel_seconds,a_seconds,at_seconds,orthogonalization_seconds,projected_solve_seconds,validation_seconds,other_seconds,wall_seconds,peak_resident_memory_mib,additional_resident_memory_mib,error
large_sparse_application_v1,Mittelmann_rail582_transpose,101,1000104,amfls,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.904725245675673e-07,,,0.0009952248613090246,1.8927026249154298e-12,0.0001225404800636113,1.0229777137702749e-11,1.0229777137702749e-11,,2.290940956296623e-11,,,365,365,730,365,365,730,694,36,694,36,0,0,0,0,0,0,0,0,0,0,0,347,347,0,347,1.582766929,0.7438880730000003,0.6826675499999993,0.07358946900000002,0.012007365999999998,0.068021132,0.07061447100000032,1.5996977250033524,562.2890625,8.92578125,
large_sparse_application_v1,Mittelmann_rail582_transpose,101,2000107,fixed_rbgk,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.904725245675662e-07,,,0.0009952248613090242,2.3549592572779876e-13,0.00012254048006361292,1.2728205716627165e-12,1.2728205716627165e-12,,5.256839832532357e-12,,,578,580,1158,76,76,152,1132,26,126,26,0,0,0,0,0,0,0,0,8,448776,1,63,63,8,565,1.442464388,0.45118871400000005,0.506946064,0.343630318,0.029581583,0.036401632,0.11111770900000009,1.456713965992094,581.703125,24.75,
large_sparse_application_v1,Mittelmann_rail582_transpose,101,1000104,lsqr,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.904725245675669e-07,,,0.0009952248613090244,3.751567654208339e-12,0.00012254048006361362,2.0276667086717022e-11,2.0276667086717022e-11,,4.268545673170733e-11,,,914,914,1828,914,914,1828,1786,42,1786,42,0,0,0,0,0,0,0,0,0,0,0,893,893,0,893,3.300512382,1.6015685079999995,1.4919809460000015,0.0,0.0,0.07908906799999998,0.20696292799999894,3.3191452879982535,561.7734375,4.78125,
large_sparse_application_v1,Mittelmann_rail582_transpose,101,1000104,lsmr,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.90472524567568e-07,,,0.000995224861309025,6.371506664231224e-12,0.00012254048006361384,3.443704908972988e-11,3.443704908972988e-11,,7.055907029308032e-11,,,858,859,1717,858,859,1717,1675,42,1675,42,0,0,0,0,0,0,0,0,0,0,0,837,837,0,837,3.229242506,1.5688121820000003,1.444328029000002,0.0,0.0,0.065024087,0.21610229499999756,3.243878040011623,561.765625,4.80078125,
large_sparse_application_v1,Mittelmann_rail582_transpose,101,1000104,lsmb,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.90472524567568e-07,,,0.000995224861309025,6.372618794309183e-12,0.0001225404800636138,3.444305998795335e-11,3.444305998795335e-11,,7.057039651262795e-11,,,858,859,1717,858,859,1717,1675,42,1675,42,0,0,0,0,0,0,0,0,0,0,0,837,837,0,837,2.60409401,1.2416248719999996,1.191546279999999,0.0,0.0,0.057574757,0.1709228580000013,2.61720676200639,561.73828125,4.8125,
large_sparse_application_v1,Mittelmann_rail582_transpose,101,3000107,lsrn,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.90472524567568e-07,,,0.000995224861309025,7.735084448148502e-12,0.0001225404800636106,4.180698489251856e-11,4.180698489251856e-11,,8.5071200150812e-11,,,89,1253,1342,89,126,215,1314,28,187,28,0,1164,0,37,75,75,75,75,1164,65296908,37,75,75,1164,582,4.725774112,0.17614966099999999,1.7390892050000004,0.0,0.202857956,0.051989038999999994,2.6076772899999994,4.744310296009644,583.50390625,26.51953125,
large_sparse_application_v1,Mittelmann_rail582_transpose,101,4000111,sparse_embedding_lsqr,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.904725245675669e-07,,,0.0009952248613090244,4.2930474896260124e-12,0.0001225404800636217,2.3203285335122668e-11,2.3203285335122668e-11,,4.84425154357463e-11,,,54,54,108,54,54,108,82,26,82,26,0,0,0,0,41,41,41,41,0,0,0,41,41,2328,582,0.5298158,0.08111750399999997,0.07736486299999999,0.0,0.244734753,0.03896910700000001,0.12659868,0.5462667459942168,606.625,49.609375,
large_sparse_application_v1,Mittelmann_rail582_transpose,101,5000113,spir,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,0,0,0,,1,3,9.904725245675686e-07,,,0.0009952248613090253,7.530477639378736e-11,0.0001225404800637607,4.0701115419407426e-10,4.0701115419407426e-10,,9.339460163246903e-10,,,54,54,108,54,54,108,106,2,106,2,0,0,0,0,53,53,53,53,0,0,0,50,1,1164,582,0.506734253,0.10493612699999996,0.09986745800000002,0.0,0.180960475,0.0037197000000000003,0.12097019299999995,0.5251774729986209,588.08203125,31.0703125,
large_sparse_application_v1,Mittelmann_rail582_transpose,101,6000115,fossils,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.904725245675681e-07,,,0.000995224861309025,4.016121476281874e-14,0.00012254048006361373,2.1706541280958512e-13,2.1706541280958512e-13,,3.2068404210761883e-12,,,25,25,50,25,25,50,46,4,46,4,0,0,0,0,23,23,23,23,0,0,0,21,1,6984,582,0.874103642,0.043158496000000005,0.043114627,0.0,0.608199415,0.007585476,0.17963110400000004,0.8971582880039932,665.71484375,108.7109375,
large_sparse_application_v1,Mittelmann_rail582_transpose,102,1000105,amfls,56097,582,402290,582,application,application,noisy_rhs,0.0,0.0,1e-10,1,1,0,,0,9,9.886042322857024e-07,,,0.000994285790045147,8.586454179128785e-13,0.00012091125306553005,4.6452343454044665e-12,4.6452343454044665e-12,,1.1959758665841618e-11,,,368,368,736,368,368,736,700,36,700,36,0,0,0,0,0,0,0,0,0,0,0,350,350,0,350,1.62153133,0.7605576019999994,0.6997065530000004,0.07633932800000003,0.012545621,0.070139475,0.07238222600000019,1.6388488960074028,562.21875,8.3984375,
